values,categories,sub_category,main_category,Functional_Group,High_Level_Category,Functional_Group1,High_Level_Category1,base_category
interior light pattern,,,,Other,,Other,,lighting
suspension spring,,,,Comfort Features,INTERIOR_SPACE_COMFORT,Comfort Features,INTERIOR_SPACE_COMFORT,Suspension
grab handle,,,,Other,,Other,,
indicator lights,,,,Other,,Other,,lighting
auto gearbox,,,,Transmission,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,transmission
wheel arches,,,,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tyres
air breathers,,,,Other,,Other,,
suspension settings,,,,Comfort Features,INTERIOR_SPACE_COMFORT,Comfort Features,INTERIOR_SPACE_COMFORT,Software / Interaction
amenities,,,,Other,,Other,,
change mode controls,,,,Other,,Other,,
button placement,,,,Other,,Other,,Physical Controls
internet connectivity package,,,,Other,,Other,,Connectivity / Integration
rear diffuser,,,,Other,,Other,,
car racing technology increments,,,,Other,,Other,,Software / Interaction
front end look,,,,Other,,Body & Exterior,,
lifting things,,,,Other,,Other,,
exhaust volume,,,,Other,,Other,,
speeding,,,,Acceleration,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Acceleration
stereo volume control,,,,Audio Systems,TECHNOLOGY_INFOTAINMENT,Other,,audio
digital controls,,,,Other,,Other,,Displays / Instrumentation
infotainment platform,,Audio & Entertainment,Technology,Infotainment,TECHNOLOGY_INFOTAINMENT,Infotainment & Display,,
adjustability,,,,Suspension,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,
foot down,,,,Other,,Handling & Dynamics,,Acceleration
dash design,,,,Other,,Miscellaneous Features,,Displays / Instrumentation
off ramp,,,,Other,,Other,,
works,,,,Other,,Other,,
back space,,,,Other,,Other,,passenger space - back space
transmission tunnel,,,,Other,,Transmission & Drivetrain,,transmission
sport,,,,Other,,Other,,
climate control,,,,Comfort Features,INTERIOR_SPACE_COMFORT,Comfort Features,INTERIOR_SPACE_COMFORT,Climate / Temperature Control
woods,,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,
seat pulling back,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
hood latches,,,,Other,,Body & Exterior,,
carpet,,,,Other,,Other,,
money,,,,Other,,Other,,Value / Cost
BMW I A8 price,,,,Other,,Other,,Road Terrain
diesel,,,,Engine,POWERTRAIN_PERFORMANCE,Other,,Fuel / Energy / Charging
rotate,,,,Other,,Other,,
model X,,,,Other,,Other,,
footspace,,,,Other,,Other,,passenger space - footspace
central hat,,,,Other,,Other,,
dirt road,,,,Other,,Other,,
servicing plan,,,,Other,,Other,,Value / Cost
parking,,,,Other,,Other,,Parking
black box on white red,,,,Other,,Other,,boot_cargo
normal suspension,,,,Comfort Features,INTERIOR_SPACE_COMFORT,Comfort Features,INTERIOR_SPACE_COMFORT,Suspension
digital space,,,,Other,,Other,,passenger space - digital space
competition pack,,,,Other,,Other,,
massage,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
roll bars,,,,Other,,Other,,
extendable seat base,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
breaks,,,,Other,,Other,,
parcel shelf,,,,Other,,Boot_Cargo,INTERIOR_SPACE_COMFORT,Storage & Utility
over six foot,,,,Other,,Other,,
surround cameras,,,,Other,,Miscellaneous Features,,Cameras
s class,,,,Other,,Other,,
coat hook,,,,Other,,Other,,
material quality,,,,Other,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,
seat adjustment,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
real wood,,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,
panel gaps,,,,Other,,Other,,
USB on 12V socket,,,,Connectivity,TECHNOLOGY_INFOTAINMENT,Connectivity,TECHNOLOGY_INFOTAINMENT,Connectivity / Integration
upgrade,,,,Other,,Other,,
latest generation,,,,Other,,Other,,
new Q3,,,,Other,,Other,,
shoulder room,,,,Other,,Other,,
anti friction turbo bearings,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,
sightlines,,,,Other,,Other,,Visibility & View
find the right gear,,,,Other,,Other,,transmission
launch control process,,,,Acceleration,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Acceleration
powerful,,,,Other,,Other,,engine/ power train
tied down points,,,,Other,,Other,,boot_cargo
towing up,,,,Other,,Other,,
sport suspension mode,,,,Comfort Features,INTERIOR_SPACE_COMFORT,Comfort Features,INTERIOR_SPACE_COMFORT,Suspension
front climbing and back,,,,Other,,Other,,
third row leg room,,,,Passenger Space,INTERIOR_SPACE_COMFORT,Other,,passenger space - third row leg room
guages,,,,Other,,Other,,
upgrades,,,,Other,,Other,,
tech display,,,,Infotainment,TECHNOLOGY_INFOTAINMENT,Infotainment & Display,,Displays / Instrumentation
safety kit,,,,Other,,Other,,Safety
life in tires,,,,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tyres
useable,,,,Other,,Other,,
three action,,,,Other,,Other,,
boot useful features,,,,Boot_Cargo,INTERIOR_SPACE_COMFORT,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
ledge,,,,Lighting,EXTERIOR_LIGHTING,Lighting,EXTERIOR_LIGHTING,lighting
corner dynamic mode,,,,Handling,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Cornering / Grip
folders on the backs of the chairs,,,,Other,,Other,,
parking system,,,,Other,,Other,,Parking
Audi A4,,,,Other,,Other,,Generic Car Terms
outside dimensions,,,,Other,,Other,,
rear window,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,Windows / Glass
opulence,,,,Other,,Other,,
back view,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,Visibility & View
gearbox response,,,,Transmission,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,transmission
tray,,,,Storage,INTERIOR_SPACE_COMFORT,Storage,INTERIOR_SPACE_COMFORT,Storage & Utility
infotaintment system,,,,Other,,Infotainment & Display,,
BMW X5,,,,Other,,Other,,Generic Car Terms
driving experience,,,,Other,,Other,,
power allocation,,,,Other,,Other,,engine/ power train
normal driving speed,,,,Acceleration,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Acceleration
trim (inside),,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Wheels & Tyres
limit,,,,Other,,Other,,
GT price,,,,Other,,Other,,Road Terrain
revs,,,,Other,,Other,,engine/ power train
external panel,,,,Other,,Other,,
tire looks,,,,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tyres
G wagon,,,,Other,,Other,,Generic Car Terms
backseat legroom,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
sunroof,,,,Other,,Body & Exterior,,roof
speed dialog system,,,,Acceleration,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Acceleration
S60 time,,,,Other,,Other,,Generic Car Terms
driving in tow,,,,Other,,Other,,
boot overall capacity,,,,Boot_Cargo,INTERIOR_SPACE_COMFORT,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
portal Pini K gearbox,,,,Transmission,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,transmission
cushioning,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
A3 looks,,,,Other,,Other,,Generic Car Terms
Mercedes C 63 or a BMW M3,,,,Other,,Other,,Generic Car Terms
leg room second row,,,,Other,,Other,,
fuel filler,,,,Other,,Other,,Fuel / Energy / Charging
curvy road,,,,Other,,Other,,Road Terrain
get out,,,,Other,,Other,,Doors
climate control dials,,,,Comfort Features,INTERIOR_SPACE_COMFORT,Comfort Features,INTERIOR_SPACE_COMFORT,Climate / Temperature Control
500E,,,,Other,,Other,,Generic Car Terms
finishes,,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,
electric assistant,,,,Other,,Other,,
sports suspension,,,,Comfort Features,INTERIOR_SPACE_COMFORT,Comfort Features,INTERIOR_SPACE_COMFORT,Suspension
air,,,,Other,,Other,,
dials and buttons,,,,Other,,Other,,Physical Controls
sport mode steering,,,,Suspension,POWERTRAIN_PERFORMANCE,Other,,steering
package,,,,Other,,Other,,
spend extra on adaptive suspension,,,,Comfort Features,INTERIOR_SPACE_COMFORT,Comfort Features,INTERIOR_SPACE_COMFORT,Suspension
S90,,,,Other,,Other,,Generic Car Terms
frame,,,,Other,,Other,,
Dr Selector,,,,Other,,Other,,Physical Controls
performance exhaust,,,,Other,,Other,,
rear suspension,,,,Comfort Features,INTERIOR_SPACE_COMFORT,Comfort Features,INTERIOR_SPACE_COMFORT,Suspension
satnav screen,,,,Infotainment,TECHNOLOGY_INFOTAINMENT,Infotainment & Display,,Displays / Instrumentation
seatbelt straps,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
microphones ,,,,Other,,Other,,
Tire holding,,,,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tyres
twin courts,,,,Other,,Other,,
ICO pro mode,,,,Other,,Other,,
climate controls action,,,,Comfort Features,INTERIOR_SPACE_COMFORT,Comfort Features,INTERIOR_SPACE_COMFORT,Climate / Temperature Control
car settings,,,,Other,,Other,,Software / Interaction
manual mode drive,,,,Transmission,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,transmission
camera special effects,,,,Other,,Miscellaneous Features,,Cameras
paddle shifters,,,,Transmission,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,
left hand drive steering wheel,,,,Handling,POWERTRAIN_PERFORMANCE,Wheels & Tires,EXTERIOR_LIGHTING,steering
I Drive,,,,Other,,Other,,Software / Interaction
sloping roof,,,,Other,,Body & Exterior,,roof
room width wise,,,,Other,,Other,,
option list,,,,Other,,Other,,
boot lid,,,,Boot_Cargo,INTERIOR_SPACE_COMFORT,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
aero bits,,,,Other,,Other,,
A3 series,,,,Other,,Other,,Generic Car Terms
side mirrors,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,Mirrors
body style,,,,Other,,Body & Exterior,,
Audi X1,,,,Other,,Other,,Generic Car Terms
Q3,,,,Other,,Other,,
large,,,,Other,,Other,,
8 Siris,,,,Other,,Other,,Voice & Commands
exhaust pipe,,,,Other,,Other,,
rear seating,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
steering wheel button,,,,Handling,POWERTRAIN_PERFORMANCE,Wheels & Tires,EXTERIOR_LIGHTING,steering
central arm rest,,,,Other,,Miscellaneous Features,,seats
overall picture,,,,Other,,Other,,
standard screen,,,,Infotainment,TECHNOLOGY_INFOTAINMENT,Infotainment & Display,,Displays / Instrumentation
middle spot,,,,Other,,Other,,
led lighting,,,,Lighting,EXTERIOR_LIGHTING,Lighting,EXTERIOR_LIGHTING,lighting
feet,,,,Other,,Other,,
rear apron,,,,Other,,Body & Exterior,,boot_cargo
adaptive steering,,,,Handling,POWERTRAIN_PERFORMANCE,Other,,steering
downhill speed regulation,,,,Acceleration,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Acceleration
Eco Pro mode,,,,Other,,Other,,Fuel / Energy / Charging
driver involvement,,,,Other,,Other,,
voice grins,,,,Other,,Other,,Road Terrain
M6,,,,Other,,Other,,
get in and out,,,,Other,,Other,,Doors
ambient lighting package,,,,Lighting,EXTERIOR_LIGHTING,Comfort Features,INTERIOR_SPACE_COMFORT,lighting
upward visibility,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,Visibility & View
gauges,,,,Other,,Other,,Displays / Instrumentation
formula,,,,Other,,Other,,
mpg sports mode,,,,Other,,Other,,
graphics chip,,Displays & Instrumentation,Technology,Other,,Other,,Displays / Instrumentation
durability,,,,Other,,Other,,Value / Cost
boot door,,,,Boot_Cargo,INTERIOR_SPACE_COMFORT,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
wood veneer,,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,
back shape,,,,Other,,Other,,
netting,,,,Storage,INTERIOR_SPACE_COMFORT,Storage,INTERIOR_SPACE_COMFORT,Storage & Utility
adults in back,,,,Other,,Other,,
BMW remote control parking,,,,Other,,Other,,Parking
door locks,,,,Other,,Body & Exterior,,Doors
sidewall,,,,Other,,Other,,
back comfort,,,,Other,,Other,,passenger space - back comfort
shelf,,,,Other,,Other,,
navigation control,,,,Navigation,TECHNOLOGY_INFOTAINMENT,Other,,Navigation / Mapping
towing capacity,,,,Other,,Other,,
apple carplay,,,,Connectivity,TECHNOLOGY_INFOTAINMENT,Connectivity,TECHNOLOGY_INFOTAINMENT,Connectivity / Integration
upgrade premium plus package,,,,Other,,Other,,
storage underneath,,,,Other,,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
main entertatinment screen,,,,Infotainment,TECHNOLOGY_INFOTAINMENT,Infotainment & Display,,Displays / Instrumentation
steering adjustment,,,,Handling,POWERTRAIN_PERFORMANCE,Other,,steering
sports mode gearbox,,,,Transmission,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,transmission
dashboard,,,,Other,,Miscellaneous Features,,Displays / Instrumentation
exhaust flaps,,,,Other,,Other,,
volume control,,,,Audio Systems,TECHNOLOGY_INFOTAINMENT,Other,,audio
driving in town,,,,Other,,Other,,Road Terrain
satellite navigation,,Navigation & Mapping,Technology,Navigation,TECHNOLOGY_INFOTAINMENT,Other,,Navigation / Mapping
glove box size,,,,Other,,Other,,boot_cargo
type,,,,Other,,Other,,
"30,000 miles",,,,Other,,Other,,
slip differential,,,,Other,,Other,,
interior ambience,,,,Other,,Other,,
passenger seat,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
standard entertainment screen,,,,Infotainment,TECHNOLOGY_INFOTAINMENT,Infotainment & Display,,Displays / Instrumentation
steering rod,,,,Handling,POWERTRAIN_PERFORMANCE,Other,,steering
acceleration from stop,,,,Other,,Handling & Dynamics,,brake
van,,,,Other,,Other,,
boosting,,,,Other,,Other,,
power recovery,,,,Other,,Other,,engine/ power train
serious offroad,,,,Other,,Other,,Road Terrain
under fly support,,,,Other,,Other,,
charges,,,,Other,,Other,,
seat,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
buttons,,,,Other,,Other,,Physical Controls
speed transmission shifts,,,,Acceleration,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,transmission
practical,,,,Other,,Other,,Storage & Utility
support adjustments,,,,Other,,Other,,
socket,,,,Other,,Other,,
see,,,,Other,,Other,,
driving modes,,,,Other,,Other,,
kick,,,,Other,,Other,,
I drive,,,,Other,,Other,,Software / Interaction
speed on,,,,Acceleration,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Acceleration
window,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,Windows / Glass
overall seating position,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
E400 twin Turbo V six power,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
optional led 19 system,,,,Lighting,EXTERIOR_LIGHTING,Lighting,EXTERIOR_LIGHTING,lighting
BMW technology,,,,Other,,Other,,Software / Interaction
storage(front passenger seat),,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,boot_cargo
inside looks,,,,Other,,Other,,
kneeroom,,,,Passenger Space,INTERIOR_SPACE_COMFORT,Other,,
transition,,,,Other,,Other,,
air intakes,,,,Other,,Other,,Climate / Temperature Control
turbo power,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
gear shift,,,,Other,,Transmission & Drivetrain,,transmission
engine mounts,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
materials,,,,Other,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,
power buildup,,,,Other,,Other,,engine/ power train
center console,,,,Other,,Miscellaneous Features,,
roadworks,,,,Other,,Other,,Road Terrain
X two,,,,Other,,Other,,
corner,,,,Handling,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Cornering / Grip
safe,,,,Other,,Other,,
Mercedes,,,,Other,,Other,,Generic Car Terms
steering (sports),,,,Handling,POWERTRAIN_PERFORMANCE,Other,,steering
offroad pack,,,,Other,,Other,,Road Terrain
off switch,,,,Other,,Other,,
electric car,,,,Other,,Engine & Performance,,Fuel / Energy / Charging
Android auto,,,,Connectivity,TECHNOLOGY_INFOTAINMENT,Connectivity,TECHNOLOGY_INFOTAINMENT,Connectivity / Integration
storage bits,,,,Other,,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
three litre diesel engine,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
manoeuvring speeds,,,,Acceleration,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Acceleration
load lift,,,,Boot_Cargo,INTERIOR_SPACE_COMFORT,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
0 to 60,,,,Acceleration,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Acceleration
airflow,,,,Other,,Other,,
getting rid of  V10,,,,Other,,Engine & Performance,,
M 8 50 I the 4.4 litre twin turbo V8,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
four wheel drive traction,,,,Handling,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,Wheels & Tyres
diesel with four turbos,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,Fuel / Energy / Charging
cushions,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
BMW A5,,,,Other,,Other,,Generic Car Terms
color tone,,,,Other,,Body & Exterior,,
Bowers and Wilkins Diamond Surround sound system,,,,Audio Systems,TECHNOLOGY_INFOTAINMENT,Other,,audio
blind spots,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,Safety
response,,,,Other,,Other,,
interior noise,,,,Other,,Other,,
potholes,,,,Other,,Other,,Road Terrain
parking assistant plus,,,,Driver Assistance,TECHNOLOGY_INFOTAINMENT,Driver Assistance,TECHNOLOGY_INFOTAINMENT,Parking
skin,,,,Other,,Other,,
bumps,,,,Other,,Other,,Road Terrain
descent,,,,Other,,Other,,
handling appeal,,,,Other,,Handling & Dynamics,,
infotaintment system knob,,,,Other,,Infotainment & Display,,Physical Controls
side profile,,,,Other,,Other,,
brakes,,,,Wheels & Tires,EXTERIOR_LIGHTING,Handling & Dynamics,,brake
steering (dynamic mode),,,,Handling,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,steering
Apple Carplay,,,,Connectivity,TECHNOLOGY_INFOTAINMENT,Connectivity,TECHNOLOGY_INFOTAINMENT,Connectivity / Integration
traffic updates,,,,Other,,Other,,Navigation / Mapping
philosophy,,,,Other,,Other,,
built,,,,Other,,Other,,
storage pack,,,,Other,,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
hood,,,,Other,,Body & Exterior,,
memory settings,,,,Other,,Other,,Software / Interaction
outward visibility,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,Visibility & View
content,,,,Other,,Other,,
hanging,,,,Other,,Other,,
upgraded command system definition,,,,Infotainment,TECHNOLOGY_INFOTAINMENT,Infotainment & Display,,Software / Interaction
reclining,,,,Other,,Seats,INTERIOR_SPACE_COMFORT,seats
220 C D engine,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
V six,,,,Other,,Engine & Performance,,engine/ power train
no lower lip,,,,Other,,Other,,
bolsters,,,,Other,,Other,,
back door,,,,Other,,Body & Exterior,,Doors
AMG A4 G5,,,,Other,,Other,,Generic Car Terms
sifting through menus,,,,Other,,Other,,Software / Interaction
autonomous driving,,,,Driver Assistance,TECHNOLOGY_INFOTAINMENT,Driver Assistance,TECHNOLOGY_INFOTAINMENT,Driver_Assistance
parking brake,,,,Brakes,SAFETY_DRIVER_ASSISTANCE,Handling & Dynamics,,brake
corner handling,,,,Handling,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Cornering / Grip
downshift,,,,Other,,Other,,transmission
format,,,,Other,,Other,,
front space,,,,Other,,Other,,passenger space - front space
A4,,,,Other,,Other,,
pillars,,,,Other,,Other,,Visibility & View
backseat functions,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
autonomous driving system,,,,Driver Assistance,TECHNOLOGY_INFOTAINMENT,Driver Assistance,TECHNOLOGY_INFOTAINMENT,Driver_Assistance
front cabin,,,,Other,,Other,,
camber,,,,Other,,Other,,Road Terrain
top end,,,,Other,,Other,,
standing quarter,,,,Other,,Other,,
steering controls,,,,Handling,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,steering
stitched button,,,,Other,,Other,,Physical Controls
obstacles,,,,Other,,Other,,Road Terrain
under storage,,,,Other,,Other,,boot_cargo
positioning of steering wheel,,,,Handling,POWERTRAIN_PERFORMANCE,Wheels & Tires,EXTERIOR_LIGHTING,steering
road noise,,,,Other,,Other,,
BMW air intake,,,,Other,,Other,,Generic Car Terms
grip level,,,,Other,,Other,,
strech out,,,,Other,,Other,,
four cylinder engine,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
anchor points,,,,Other,,Other,,
shopping basket,,,,Other,,Other,,boot_cargo
sports package,,,,Other,,Miscellaneous Features,,
WiFi speed,,,,Connectivity,TECHNOLOGY_INFOTAINMENT,Connectivity,TECHNOLOGY_INFOTAINMENT,Connectivity / Integration
centre of gravity,,,,Other,,Other,,
automatic gearbox,,,,Transmission,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,transmission
category,,,,Other,,Other,,
marina leather,,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,
engine response,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
name,,,,Other,,Other,,
center seats,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
vision,,,,Other,,Other,,
foot well,,,,Other,,Other,,
split gate,,,,Other,,Other,,boot_cargo
head rest not put up,,,,Other,,Other,,
ownership proposition,,,,Other,,Other,,Value / Cost
X line up,,,,Other,,Other,,
X1 X Drive 28,,,,Drivetrain,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,
hybrid system,,,,Other,,Engine & Performance,,Fuel / Energy / Charging
turning volume with index finger,,,,Other,,Other,,Cornering / Grip
command online system,,,,Other,,Other,,
most frugal G L E 3 50,,,,Other,,Other,,
back seat elongated bracket,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
Magic Sky feature,,,,Other,,Miscellaneous Features,,roof
four people,,,,Other,,Other,,
individual mode,,,,Other,,Other,,
rear seat combination,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
engine turn off,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
miles an hour,,,,Other,,Other,,
graphics screen,,,,Infotainment,TECHNOLOGY_INFOTAINMENT,Infotainment & Display,,Displays / Instrumentation
seat folding,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
middle setting,,,,Other,,Other,,
child seat,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
signature on every windscreen,,,,Infotainment,TECHNOLOGY_INFOTAINMENT,Visibility,INTERIOR_SPACE_COMFORT,Displays / Instrumentation
modular system,,,,Other,,Other,,
SLs,,,,Other,,Other,,Generic Car Terms
deductive suspension,,,,Comfort Features,INTERIOR_SPACE_COMFORT,Comfort Features,INTERIOR_SPACE_COMFORT,Suspension
usablility,,,,Other,,Other,,
talking price,,,,Other,,Other,,Road Terrain
switches,,,,Other,,Other,,Physical Controls
qualities,,,,Other,,Other,,
advisors,,,,Other,,Other,,
hard corners,,,,Handling,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Cornering / Grip
new M3,,,,Other,,Other,,Generic Car Terms
iPad stall screen,,,,Infotainment,TECHNOLOGY_INFOTAINMENT,Infotainment & Display,,Displays / Instrumentation
top speed,,,,Acceleration,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Acceleration
quilted leather,,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,
track driving,,,,Other,,Other,,Road Terrain
creases,,,,Other,,Other,,
badges,,,,Other,,Other,,
surfacing treatment,,,,Other,,Other,,
sedan,,,,Body Style,EXTERIOR_LIGHTING,Body & Exterior,,
colors,,,,Other,,Body & Exterior,,
underline support,,,,Other,,Other,,
indicator,,,,Other,,Other,,
back features,,,,Other,,Other,,
traffic,,,,Other,,Other,,
quilting,,,,Other,,Other,,
trim pieces,,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Wheels & Tyres
persona,,,,Other,,Other,,
intakes,,,,Other,,Other,,
floor,,,,Other,,Other,,
bumps dynamic mode,,,,Other,,Handling & Dynamics,,Road Terrain
battery,,,,Other,,Engine & Performance,,Fuel / Energy / Charging
economics,,,,Other,,Other,,Value / Cost
0.1 litre,,,,Other,,Other,,
optional backup camera,,,,Other,,Miscellaneous Features,,Cameras
most laid back position,,,,Other,,Other,,
Porsche gearbox,,,,Transmission,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,transmission
front door,,,,Other,,Body & Exterior,,Doors
speakers,,,,Audio Systems,TECHNOLOGY_INFOTAINMENT,Other,,audio
suspension tuning,,,,Comfort Features,INTERIOR_SPACE_COMFORT,Comfort Features,INTERIOR_SPACE_COMFORT,Suspension
lighting colors,,,,Other,,Body & Exterior,,lighting
aluminium finish,,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,
back trim,,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Wheels & Tyres
move,,,,Other,,Other,,
carriage pull,,,,Other,,Other,,
gas truck,,,,Other,,Other,,
automatic transmission,,,,Transmission,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,transmission
button,,,,Other,,Other,,Physical Controls
S4,,,,Other,,Other,,
launch control,,,,Acceleration,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Acceleration
city drive,,,,Other,,Other,,
carrying rear passengers,,,,Other,,Other,,
S line suspension,,,,Comfort Features,INTERIOR_SPACE_COMFORT,Comfort Features,INTERIOR_SPACE_COMFORT,Suspension
ports,,,,Other,,Other,,
firmness,,,,Other,,Other,,
extended cargo area,,,,Boot_Cargo,INTERIOR_SPACE_COMFORT,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
