aspect,base_category,MAIN_CATEGORY
corner dynamic mode,cornering,HANDLING / DYNAMICS
arm rest,seats,INTERIOR / COMFORT / ERGONOMICS
entertainment system touch,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
parking assistant plus,driver assistance,SAFETY
underfloor storage area,storage & utility,FUNCTIONAL / UTILITY FEATURES
tow hitch,storage & utility,FUNCTIONAL / UTILITY FEATURES
windshield wipers,windscreen / wipers,SAFETY
sit up,seats,INTERIOR / COMFORT / ERGONOMICS
front door,doors,EXTERIOR / STYLING / DESIGN
wax dropping from the door,exterior materials & finish,EXTERIOR / STYLING / DESIGN
sense,functionality & features,FUNCTIONAL / UTILITY FEATURES
dynamic mode air suspension,suspension,HANDLING / DYNAMICS
acoustics,audio,EMOTIONAL / SENSORY / VISUAL
volvo xc60 power,engine / power train,POWERTRAIN / PERFORMANCE
x drive,drive,POWERTRAIN / PERFORMANCE
mountains,road terrain,HANDLING / DYNAMICS
slide,driving dynamics / handling,HANDLING / DYNAMICS
unload,boot / cargo,FUNCTIONAL / UTILITY FEATURES
center seats,seats,INTERIOR / COMFORT / ERGONOMICS
fix covers,exterior materials & finish,EXTERIOR / STYLING / DESIGN
trim,design,EMOTIONAL / SENSORY / VISUAL
anti jacking,safety,SAFETY
hanging,storage & utility,FUNCTIONAL / UTILITY FEATURES
hinges,doors,EXTERIOR / STYLING / DESIGN
smells,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
bmw cars,model / generic car terms,GENERAL INFORMATION
two litre engine,engine / power train,POWERTRAIN / PERFORMANCE
carplay connectivity,connectivity / integration,TECHNOLOGY / ELECTRONICS / SOFTWARE
50 d engine,engine / power train,POWERTRAIN / PERFORMANCE
steers,steering,HANDLING / DYNAMICS
usb on 12v socket,connectivity / integration,TECHNOLOGY / ELECTRONICS / SOFTWARE
types of suspension,suspension,HANDLING / DYNAMICS
sporting,functionality & features,FUNCTIONAL / UTILITY FEATURES
suspension (dynamic mode),suspension,HANDLING / DYNAMICS
wheel designs,design,EMOTIONAL / SENSORY / VISUAL
trappings,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
touring headroom,passenger space,INTERIOR / COMFORT / ERGONOMICS
throttle responsiveness,engine / power train,POWERTRAIN / PERFORMANCE
1.40 s8 engine upgrade,engine / power train,POWERTRAIN / PERFORMANCE
rollover,safety,SAFETY
front tires,wheels & tyres,HANDLING / DYNAMICS
sidewall,body class,EXTERIOR / STYLING / DESIGN
seats dropping,seats,INTERIOR / COMFORT / ERGONOMICS
windscreen,windscreen / wipers,SAFETY
entertainment setup,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
theme,design,EMOTIONAL / SENSORY / VISUAL
kick,acceleration,POWERTRAIN / PERFORMANCE
road noise,audio,EMOTIONAL / SENSORY / VISUAL
push button reach,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
trunk shape,boot / cargo,FUNCTIONAL / UTILITY FEATURES
exterior styling,exterior materials & finish,EXTERIOR / STYLING / DESIGN
sun visors,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
shape,design,EMOTIONAL / SENSORY / VISUAL
planted call features,functionality & features,FUNCTIONAL / UTILITY FEATURES
infotainment system,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
events,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
carrying large items,boot / cargo,FUNCTIONAL / UTILITY FEATURES
rear air conditioning,climate / temperature control,INTERIOR / COMFORT / ERGONOMICS
diesel engines,engine / power train,POWERTRAIN / PERFORMANCE
mercedes-benz  design,design,EMOTIONAL / SENSORY / VISUAL
heads up display,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
figures,distance / efficiency / mileage,DISTANCE / MEASUREMENT /  COST
interior loom,interior,INTERIOR / COMFORT / ERGONOMICS
price point feature,functionality & features,FUNCTIONAL / UTILITY FEATURES
control over region,driving dynamics / handling,HANDLING / DYNAMICS
toggle switches,physical controls,INTERIOR / COMFORT / ERGONOMICS
couch,seats,INTERIOR / COMFORT / ERGONOMICS
back comfort,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
choice,options & specifications,GENERAL INFORMATION
focus,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
door bin,storage & utility,FUNCTIONAL / UTILITY FEATURES
exhaust systems,exhaust,POWERTRAIN / PERFORMANCE
fragrance,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
wireless charging,connectivity / integration,TECHNOLOGY / ELECTRONICS / SOFTWARE
air intakes,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
swivel controller,physical controls,INTERIOR / COMFORT / ERGONOMICS
metallic speakers,audio,EMOTIONAL / SENSORY / VISUAL
torque vectoring,engine / power train,POWERTRAIN / PERFORMANCE
front motor setup,engine / power train,POWERTRAIN / PERFORMANCE
mileage,distance / efficiency / mileage,DISTANCE / MEASUREMENT /  COST
engine automatic switch off,engine / power train,POWERTRAIN / PERFORMANCE
comfy setting,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
virtual cockpit,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
platform base,chassis / structural,STRUCTURAL
back room,passenger space,INTERIOR / COMFORT / ERGONOMICS
downhill speed regulation,acceleration,POWERTRAIN / PERFORMANCE
0.1 litre,engine / power train,POWERTRAIN / PERFORMANCE
entertainment display,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
rock crawling,road terrain,HANDLING / DYNAMICS
cornering,cornering,HANDLING / DYNAMICS
device,equipment,FUNCTIONAL / UTILITY FEATURES
quality,quality & durability,GENERAL INFORMATION
drivers,drive,POWERTRAIN / PERFORMANCE
drive in town,drive,POWERTRAIN / PERFORMANCE
overall seating position,seats,INTERIOR / COMFORT / ERGONOMICS
v8 engine,engine / power train,POWERTRAIN / PERFORMANCE
hatch,body type,EXTERIOR / STYLING / DESIGN
traction management,traction / stability,HANDLING / DYNAMICS
emission,fuel / energy / charging,POWERTRAIN / PERFORMANCE
nine speed automatic,transmission,POWERTRAIN / PERFORMANCE
rear parking,parking,FUNCTIONAL / UTILITY FEATURES
wheel design,design,EMOTIONAL / SENSORY / VISUAL
durability,quality & durability,GENERAL INFORMATION
mode switch,driving dynamics / handling,HANDLING / DYNAMICS
down storage,storage & utility,FUNCTIONAL / UTILITY FEATURES
bmw i a8,model / generic car terms,GENERAL INFORMATION
material quality,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
front headlights,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
20 inch wheel,wheels & tyres,HANDLING / DYNAMICS
upgrade premium plus package,packages / trims / variants,GENERAL INFORMATION
smell,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
bmw x1,model / generic car terms,GENERAL INFORMATION
gt three dry road,road terrain,HANDLING / DYNAMICS
c class,model / generic car terms,GENERAL INFORMATION
styling,design,EMOTIONAL / SENSORY / VISUAL
gearbox,transmission,POWERTRAIN / PERFORMANCE
seatbelt adjustment,safety,SAFETY
gearshift modifications,transmission,POWERTRAIN / PERFORMANCE
rear pillar,chassis / structural,STRUCTURAL
progress,driving dynamics / handling,HANDLING / DYNAMICS
central speaker,audio,EMOTIONAL / SENSORY / VISUAL
sport,driving dynamics / handling,HANDLING / DYNAMICS
center of gravity,weight,DISTANCE / MEASUREMENT /  COST
fender flares,body class,EXTERIOR / STYLING / DESIGN
get stuff in boot,boot / cargo,FUNCTIONAL / UTILITY FEATURES
visual presence,design,EMOTIONAL / SENSORY / VISUAL
heavy cornering,cornering,HANDLING / DYNAMICS
vibe,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
new x3,model / generic car terms,GENERAL INFORMATION
starting the car,functionality & features,FUNCTIONAL / UTILITY FEATURES
a3 series,model / generic car terms,GENERAL INFORMATION
graphics chip,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
satellite navigation system,navigation / mapping,TECHNOLOGY / ELECTRONICS / SOFTWARE
ac,climate / temperature control,INTERIOR / COMFORT / ERGONOMICS
torque converter,engine / power train,POWERTRAIN / PERFORMANCE
mapping,navigation / mapping,TECHNOLOGY / ELECTRONICS / SOFTWARE
steering wheel paddles,steering,HANDLING / DYNAMICS
comfort plus mode,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
rear spoiler,fuel / energy / charging,POWERTRAIN / PERFORMANCE
receiving position,seats,INTERIOR / COMFORT / ERGONOMICS
air scarf,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
carrying three headroom,passenger space,INTERIOR / COMFORT / ERGONOMICS
new technology,technology,TECHNOLOGY / ELECTRONICS / SOFTWARE
station wagon,body type,EXTERIOR / STYLING / DESIGN
trunk,boot / cargo,FUNCTIONAL / UTILITY FEATURES
remote features,functionality & features,FUNCTIONAL / UTILITY FEATURES
interior design philosophy,design,EMOTIONAL / SENSORY / VISUAL
opening,doors,EXTERIOR / STYLING / DESIGN
rough surface,road terrain,HANDLING / DYNAMICS
lower lip,exterior materials & finish,EXTERIOR / STYLING / DESIGN
length,dimensions & measurements,DISTANCE / MEASUREMENT /  COST
dampers,suspension,HANDLING / DYNAMICS
central arm rest,seats,INTERIOR / COMFORT / ERGONOMICS
dials and buttons,physical controls,INTERIOR / COMFORT / ERGONOMICS
diesel with four turbos,engine / power train,POWERTRAIN / PERFORMANCE
rear seating,seats,INTERIOR / COMFORT / ERGONOMICS
handling,driving dynamics / handling,HANDLING / DYNAMICS
seal between the doors,doors,EXTERIOR / STYLING / DESIGN
footroom,passenger space,INTERIOR / COMFORT / ERGONOMICS
material,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
bits,generic description & miscellaneous,GENERAL INFORMATION
camera special effects,cameras,TECHNOLOGY / ELECTRONICS / SOFTWARE
plugin hybrid,fuel / energy / charging,POWERTRAIN / PERFORMANCE
fifth portion,passenger space,INTERIOR / COMFORT / ERGONOMICS
functionality,functionality & features,FUNCTIONAL / UTILITY FEATURES
ride comfort,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
water jets,windscreen / wipers,SAFETY
middle chair,seats,INTERIOR / COMFORT / ERGONOMICS
knee airbag,safety,SAFETY
tray tables,storage & utility,FUNCTIONAL / UTILITY FEATURES
public roads,road terrain,HANDLING / DYNAMICS
well being,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
touch pad,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
center section,interior,INTERIOR / COMFORT / ERGONOMICS
start stop,engine / power train,POWERTRAIN / PERFORMANCE
user interface,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
seat,seats,INTERIOR / COMFORT / ERGONOMICS
output figures,engine / power train,POWERTRAIN / PERFORMANCE
entertainment system view,visibility & view,SAFETY
steering ratio,steering,HANDLING / DYNAMICS
carplay,connectivity / integration,TECHNOLOGY / ELECTRONICS / SOFTWARE
bmw four serious,model / generic car terms,GENERAL INFORMATION
brake,brake,HANDLING / DYNAMICS
bonnet,bonnet,EXTERIOR / STYLING / DESIGN
storage tray,storage & utility,FUNCTIONAL / UTILITY FEATURES
centre armrest,seats,INTERIOR / COMFORT / ERGONOMICS
folding metal roof,roof,EXTERIOR / STYLING / DESIGN
load lift,boot / cargo,FUNCTIONAL / UTILITY FEATURES
eco pro mode,fuel / energy / charging,POWERTRAIN / PERFORMANCE
seatback release,seats,INTERIOR / COMFORT / ERGONOMICS
sports plus mode,driving dynamics / handling,HANDLING / DYNAMICS
rest of the car,generic description & miscellaneous,GENERAL INFORMATION
cruising,driver assistance,SAFETY
look,design,EMOTIONAL / SENSORY / VISUAL
lateral grip,traction / stability,HANDLING / DYNAMICS
boot storage cover,boot / cargo,FUNCTIONAL / UTILITY FEATURES
rear engine,engine / power train,POWERTRAIN / PERFORMANCE
centre console,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
acceleration noise,audio,EMOTIONAL / SENSORY / VISUAL
new r8,model / generic car terms,GENERAL INFORMATION
taxi drive,drive,POWERTRAIN / PERFORMANCE
comfort adaptive,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
touring body,body type,EXTERIOR / STYLING / DESIGN
tire pressure monitoring,wheels & tyres,HANDLING / DYNAMICS
gear select,transmission,POWERTRAIN / PERFORMANCE
driver assistance technology,driver assistance,SAFETY
steering wheel control,steering,HANDLING / DYNAMICS
laser light headlights,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
backseats,seats,INTERIOR / COMFORT / ERGONOMICS
deductive suspension,suspension,HANDLING / DYNAMICS
microphones,audio,EMOTIONAL / SENSORY / VISUAL
m6 port,model / generic car terms,GENERAL INFORMATION
get in and out -front,doors,EXTERIOR / STYLING / DESIGN
steering guidance,steering,HANDLING / DYNAMICS
extra bits of trim,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
spring,suspension,HANDLING / DYNAMICS
standard seats,seats,INTERIOR / COMFORT / ERGONOMICS
tail lights design,design,EMOTIONAL / SENSORY / VISUAL
net,storage & utility,FUNCTIONAL / UTILITY FEATURES
styling appeal,design,EMOTIONAL / SENSORY / VISUAL
reading light,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
loading,boot / cargo,FUNCTIONAL / UTILITY FEATURES
hood,bonnet,EXTERIOR / STYLING / DESIGN
manoeuvre in traffic,road terrain,HANDLING / DYNAMICS
leds,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
new q5,model / generic car terms,GENERAL INFORMATION
volvo xc60 drive,model / generic car terms,GENERAL INFORMATION
design quality,design,EMOTIONAL / SENSORY / VISUAL
gesture control,gesture / motion controls,TECHNOLOGY / ELECTRONICS / SOFTWARE
callipers,brake,HANDLING / DYNAMICS
crystal knob,physical controls,INTERIOR / COMFORT / ERGONOMICS
running cost,value / cost,DISTANCE / MEASUREMENT /  COST
highway,road terrain,HANDLING / DYNAMICS
saloon,body type,EXTERIOR / STYLING / DESIGN
door trim,exterior materials & finish,EXTERIOR / STYLING / DESIGN
overall picture,generic description & miscellaneous,GENERAL INFORMATION
seating position,seats,INTERIOR / COMFORT / ERGONOMICS
release button for center console,functionality & features,FUNCTIONAL / UTILITY FEATURES
third row legroom,passenger space,INTERIOR / COMFORT / ERGONOMICS
storage pouch,storage & utility,FUNCTIONAL / UTILITY FEATURES
high speed mobile internet,connectivity / integration,TECHNOLOGY / ELECTRONICS / SOFTWARE
roundabouts,cornering,HANDLING / DYNAMICS
sport suspension mode,suspension,HANDLING / DYNAMICS
town,road terrain,HANDLING / DYNAMICS
option sheet,options & specifications,GENERAL INFORMATION
information display,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
sports model,model / generic car terms,GENERAL INFORMATION
front seat backs,seats,INTERIOR / COMFORT / ERGONOMICS
review of car,visibility & view,SAFETY
slippery track,road terrain,HANDLING / DYNAMICS
leather,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
window surround,windows / glass,EXTERIOR / STYLING / DESIGN
weight balance,weight,DISTANCE / MEASUREMENT /  COST
climate control,climate / temperature control,INTERIOR / COMFORT / ERGONOMICS
hybrid version,fuel / energy / charging,POWERTRAIN / PERFORMANCE
split gate height,boot / cargo,FUNCTIONAL / UTILITY FEATURES
tire pressure monitor,wheels & tyres,HANDLING / DYNAMICS
going downhill,road terrain,HANDLING / DYNAMICS
sides,side section,EXTERIOR / STYLING / DESIGN
sports plus exhaust,exhaust,POWERTRAIN / PERFORMANCE
center stack,interior,INTERIOR / COMFORT / ERGONOMICS
g class,model / generic car terms,GENERAL INFORMATION
curvy road,road terrain,HANDLING / DYNAMICS
middle setting,functionality & features,FUNCTIONAL / UTILITY FEATURES
performance amount,performance,POWERTRAIN / PERFORMANCE
smooth road,road terrain,HANDLING / DYNAMICS
x5,model / generic car terms,GENERAL INFORMATION
tray storage,storage & utility,FUNCTIONAL / UTILITY FEATURES
glove box latch,storage & utility,FUNCTIONAL / UTILITY FEATURES
get in,doors,EXTERIOR / STYLING / DESIGN
tronic gearbox,transmission,POWERTRAIN / PERFORMANCE
torque vectoring rear differential,traction / stability,HANDLING / DYNAMICS
electric seats,seats,INTERIOR / COMFORT / ERGONOMICS
audi a3 lineup,model / generic car terms,GENERAL INFORMATION
speed control,acceleration,POWERTRAIN / PERFORMANCE
emotion,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
life in tires,wheels & tyres,HANDLING / DYNAMICS
front space,passenger space,INTERIOR / COMFORT / ERGONOMICS
total range,distance / efficiency / mileage,DISTANCE / MEASUREMENT /  COST
performance,performance,POWERTRAIN / PERFORMANCE
rough roads,road terrain,HANDLING / DYNAMICS
sports car,model / generic car terms,GENERAL INFORMATION
rs6 color,exterior materials & finish,EXTERIOR / STYLING / DESIGN
bmw remote control parking,parking,FUNCTIONAL / UTILITY FEATURES
rest of the finish,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
aluminium,exterior materials & finish,EXTERIOR / STYLING / DESIGN
bumper,bumper,EXTERIOR / STYLING / DESIGN
steering precision,driving dynamics / handling,HANDLING / DYNAMICS
glove box size,storage & utility,FUNCTIONAL / UTILITY FEATURES
luxury package,packages / trims / variants,GENERAL INFORMATION
interior leather,interior,INTERIOR / COMFORT / ERGONOMICS
led lights,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
cushions,seats,INTERIOR / COMFORT / ERGONOMICS
light cover,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
autonomous driving,drive,POWERTRAIN / PERFORMANCE
drift mode,driving dynamics / handling,HANDLING / DYNAMICS
windscreen wipers,windscreen / wipers,SAFETY
bmw,model / generic car terms,GENERAL INFORMATION
flaps,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
slip differential,traction / stability,HANDLING / DYNAMICS
widescreen setting,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
carpeting,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
twist road,road terrain,HANDLING / DYNAMICS
electronic shifter,transmission,POWERTRAIN / PERFORMANCE
interior,interior,INTERIOR / COMFORT / ERGONOMICS
s60 time,acceleration,POWERTRAIN / PERFORMANCE
i drive seven,technology,TECHNOLOGY / ELECTRONICS / SOFTWARE
bmw a8,model / generic car terms,GENERAL INFORMATION
rough road,road terrain,HANDLING / DYNAMICS
a4 boot,boot / cargo,FUNCTIONAL / UTILITY FEATURES
headlight,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
window lead,windows / glass,EXTERIOR / STYLING / DESIGN
blind spot monitoring,safety,SAFETY
dials,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
styling accents,design,EMOTIONAL / SENSORY / VISUAL
back pillar,chassis / structural,STRUCTURAL
people over six foot,passenger space,INTERIOR / COMFORT / ERGONOMICS
steering feel,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
reliability,value / cost,DISTANCE / MEASUREMENT /  COST
exhaust flaps,exhaust,POWERTRAIN / PERFORMANCE
air curtains,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
pedal operation,driving dynamics / handling,HANDLING / DYNAMICS
audi tron,model / generic car terms,GENERAL INFORMATION
corner comfort mode,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
driving environment,interior,INTERIOR / COMFORT / ERGONOMICS
put together,build quality / construction,STRUCTURAL
rev. counter,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
usability,storage & utility,FUNCTIONAL / UTILITY FEATURES
visibility at the front,visibility & view,SAFETY
driving environment lay out,drive,POWERTRAIN / PERFORMANCE
design details,design,EMOTIONAL / SENSORY / VISUAL
competition,generic description & miscellaneous,GENERAL INFORMATION
0 to 60 acceleration,acceleration,POWERTRAIN / PERFORMANCE
track,driving dynamics / handling,HANDLING / DYNAMICS
roadworks,road terrain,HANDLING / DYNAMICS
camber,road terrain,HANDLING / DYNAMICS
useable,storage & utility,FUNCTIONAL / UTILITY FEATURES
dirt,road terrain,HANDLING / DYNAMICS
surround view camera system,visibility & view,SAFETY
twin turbo petrol,engine / power train,POWERTRAIN / PERFORMANCE
sitting,seats,INTERIOR / COMFORT / ERGONOMICS
regionalism,driving dynamics / handling,HANDLING / DYNAMICS
piano black trim,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
paint,exterior materials & finish,EXTERIOR / STYLING / DESIGN
room inside,passenger space,INTERIOR / COMFORT / ERGONOMICS
adjustable side bolsters,seats,INTERIOR / COMFORT / ERGONOMICS
magic body control camera,cameras,TECHNOLOGY / ELECTRONICS / SOFTWARE
horses,performance,POWERTRAIN / PERFORMANCE
keyless entry,doors,EXTERIOR / STYLING / DESIGN
style,design,EMOTIONAL / SENSORY / VISUAL
paddles,physical controls,INTERIOR / COMFORT / ERGONOMICS
portal pini k gearbox,transmission,POWERTRAIN / PERFORMANCE
wind,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
door plastics,doors,EXTERIOR / STYLING / DESIGN
everything else,generic description & miscellaneous,GENERAL INFORMATION
laser lights,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
straight driving,drive,POWERTRAIN / PERFORMANCE
interior fit and finish,interior,INTERIOR / COMFORT / ERGONOMICS
information,technology,TECHNOLOGY / ELECTRONICS / SOFTWARE
middle section,passenger space,INTERIOR / COMFORT / ERGONOMICS
charges,fuel / energy / charging,POWERTRAIN / PERFORMANCE
top cover,roof,EXTERIOR / STYLING / DESIGN
usb charging ports,connectivity / integration,TECHNOLOGY / ELECTRONICS / SOFTWARE
detail lights,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
go to 50,acceleration,POWERTRAIN / PERFORMANCE
side trim,exterior materials & finish,EXTERIOR / STYLING / DESIGN
artificial noise,audio,EMOTIONAL / SENSORY / VISUAL
a one,model / generic car terms,GENERAL INFORMATION
electronic,technology,TECHNOLOGY / ELECTRONICS / SOFTWARE
trunks,boot / cargo,FUNCTIONAL / UTILITY FEATURES
backend capacity,rear section,EXTERIOR / STYLING / DESIGN
glovebox,storage & utility,FUNCTIONAL / UTILITY FEATURES
softer suspension,suspension,HANDLING / DYNAMICS
wheel turn,wheels & tyres,HANDLING / DYNAMICS
shoulder room,passenger space,INTERIOR / COMFORT / ERGONOMICS
wing mirror,mirrors,SAFETY
top end,acceleration,POWERTRAIN / PERFORMANCE
hood latches,bonnet,EXTERIOR / STYLING / DESIGN
foot down,acceleration,POWERTRAIN / PERFORMANCE
wider items,storage & utility,FUNCTIONAL / UTILITY FEATURES
selection mode,physical controls,INTERIOR / COMFORT / ERGONOMICS
fit and finish,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
driving system,drive,POWERTRAIN / PERFORMANCE
ends,rear section,EXTERIOR / STYLING / DESIGN
brake feel,brake,HANDLING / DYNAMICS
overall length,dimensions & measurements,DISTANCE / MEASUREMENT /  COST
passenger space,passenger space,INTERIOR / COMFORT / ERGONOMICS
wheel options,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
corner braking,brake,HANDLING / DYNAMICS
quattro software,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
dash angle,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
ski hatch,body type,EXTERIOR / STYLING / DESIGN
manual mode drive,transmission,POWERTRAIN / PERFORMANCE
boot lip,exterior materials & finish,EXTERIOR / STYLING / DESIGN
arches,exterior materials & finish,EXTERIOR / STYLING / DESIGN
straps,storage & utility,FUNCTIONAL / UTILITY FEATURES
sexiness,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
ceramic brakes,brake,HANDLING / DYNAMICS
sub menus,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
interior space,passenger space,INTERIOR / COMFORT / ERGONOMICS
drivability,driving dynamics / handling,HANDLING / DYNAMICS
materials quality,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
cervix fittings,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
body shape,body class,EXTERIOR / STYLING / DESIGN
audi virtual cockpit,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
s class driving experience,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
augmented reality satellite navigation system,navigation / mapping,TECHNOLOGY / ELECTRONICS / SOFTWARE
diesel engine,engine / power train,POWERTRAIN / PERFORMANCE
glc 43,model / generic car terms,GENERAL INFORMATION
turbo lag,engine / power train,POWERTRAIN / PERFORMANCE
steering wheel shape,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
dry,road terrain,HANDLING / DYNAMICS
glass elements on gear selector,transmission,POWERTRAIN / PERFORMANCE
rear end,rear section,EXTERIOR / STYLING / DESIGN
going fast on motorway,acceleration,POWERTRAIN / PERFORMANCE
air deflector,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
chassis braces,chassis / structural,STRUCTURAL
speaker,audio,EMOTIONAL / SENSORY / VISUAL
traction control,traction / stability,HANDLING / DYNAMICS
corner lamps,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
cutaways for covers,exterior materials & finish,EXTERIOR / STYLING / DESIGN
rear seats,seats,INTERIOR / COMFORT / ERGONOMICS
safety kit,safety,SAFETY
maneuverability,driving dynamics / handling,HANDLING / DYNAMICS
feel,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
lettering,design,EMOTIONAL / SENSORY / VISUAL
blind spots,safety,SAFETY
changing gears using paddles,transmission,POWERTRAIN / PERFORMANCE
door handles,doors,EXTERIOR / STYLING / DESIGN
power recovery,engine / power train,POWERTRAIN / PERFORMANCE
interior ambience,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
rear diffuser,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
cooling drink,storage & utility,FUNCTIONAL / UTILITY FEATURES
utility,storage & utility,FUNCTIONAL / UTILITY FEATURES
country roads,road terrain,HANDLING / DYNAMICS
gear,transmission,POWERTRAIN / PERFORMANCE
bmw six series gt,model / generic car terms,GENERAL INFORMATION
cabin features,functionality & features,FUNCTIONAL / UTILITY FEATURES
roof up and down,roof,EXTERIOR / STYLING / DESIGN
sight,visibility & view,SAFETY
boot size,boot / cargo,FUNCTIONAL / UTILITY FEATURES
switches,physical controls,INTERIOR / COMFORT / ERGONOMICS
dash design,design,EMOTIONAL / SENSORY / VISUAL
accelerating,acceleration,POWERTRAIN / PERFORMANCE
center armrest,seats,INTERIOR / COMFORT / ERGONOMICS
blinds,windows / glass,EXTERIOR / STYLING / DESIGN
shortcut buttons,physical controls,INTERIOR / COMFORT / ERGONOMICS
no lower lip,exterior materials & finish,EXTERIOR / STYLING / DESIGN
foot room,passenger space,INTERIOR / COMFORT / ERGONOMICS
leg room,passenger space,INTERIOR / COMFORT / ERGONOMICS
head room,passenger space,INTERIOR / COMFORT / ERGONOMICS
kneeroom,passenger space,INTERIOR / COMFORT / ERGONOMICS
elbow room,passenger space,INTERIOR / COMFORT / ERGONOMICS
glass elements,windows / glass,EXTERIOR / STYLING / DESIGN
fuel tank,fuel / energy / charging,POWERTRAIN / PERFORMANCE
v8 engine drive,engine / power train,POWERTRAIN / PERFORMANCE
air density,seats,INTERIOR / COMFORT / ERGONOMICS
top,roof,EXTERIOR / STYLING / DESIGN
exhaust layer,exhaust,POWERTRAIN / PERFORMANCE
stability,traction / stability,HANDLING / DYNAMICS
boot,boot / cargo,FUNCTIONAL / UTILITY FEATURES
diamonds,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
iceberg covers,exterior materials & finish,EXTERIOR / STYLING / DESIGN
sports plus suspension,suspension,HANDLING / DYNAMICS
shift lever,transmission,POWERTRAIN / PERFORMANCE
estate,body type,EXTERIOR / STYLING / DESIGN
comfort,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
